Species,mydate,expTime,Treatment,Flask,colony,Temperature,Salinity,Polyps,opencols
Primnoa,2024-07-26T02:00:00Z,0,3,1,25,3.7,33.4,open,1
Primnoa,2024-07-26T02:00:00Z,0,3,2,17,3.8,33.4,open,1
Primnoa,2024-07-26T02:00:00Z,0,3,3,9,3.8,33.5,open,1
Primnoa,2024-07-26T02:00:00Z,0,3,4,24,3.7,33.4,open,1
Primnoa,2024-07-26T02:00:00Z,0,3,5,13,3.8,33.4,open,1
Primnoa,2024-07-26T02:00:00Z,0,3,6,8,3.8,33.5,open,1
Primnoa,2024-07-26T02:00:00Z,0,3,7,10,3.8,33.4,open,1
Primnoa,2024-07-26T02:00:00Z,0,5,1,25,5.1,33.6,open,1
Primnoa,2024-07-26T02:00:00Z,0,5,2,17,5.1,33.4,open,1
Primnoa,2024-07-26T02:00:00Z,0,5,3,9,5.1,33.5,open,1
Primnoa,2024-07-26T02:00:00Z,0,5,4,24,5.1,33.6,open,1
Primnoa,2024-07-26T02:00:00Z,0,5,5,13,5.1,33.6,open,1
Primnoa,2024-07-26T02:00:00Z,0,5,6,10,5.2,33.4,open,1
Primnoa,2024-07-26T02:00:00Z,0,5,7,8,5.2,33.5,open,1
Primnoa,2024-07-26T02:00:00Z,0,8,1,17,8.1,33.6,closed,0
Primnoa,2024-07-26T02:00:00Z,0,8,2,9,8.1,33.6,open,1
Primnoa,2024-07-26T02:00:00Z,0,8,3,24,8,33.7,closed,0
Primnoa,2024-07-26T02:00:00Z,0,8,4,25,8,33.7,open,1
Primnoa,2024-07-26T02:00:00Z,0,8,5,13,8.1,33.7,open,1
Primnoa,2024-07-26T02:00:00Z,0,8,6,10,8,33.8,closed,0
Primnoa,2024-07-26T02:00:00Z,0,8,7,8,8.1,33.78,open,1
Primnoa,2024-07-26T02:00:00Z,0,12,1,9,11.3,33.09,open,1
Primnoa,2024-07-26T02:00:00Z,0,12,2,17,11.4,34,open,1
Primnoa,2024-07-26T02:00:00Z,0,12,3,24,11.4,33.9,open,1
Primnoa,2024-07-26T02:00:00Z,0,12,4,25,11.3,33.8,open,1
Primnoa,2024-07-26T02:00:00Z,0,12,5,13,11.4,34,open,1
Primnoa,2024-07-26T02:00:00Z,0,12,6,10,11.3,33.9,closed,0
Primnoa,2024-07-26T02:00:00Z,0,12,7,8,11.4,33.5,open,1
Primnoa,2024-07-26T14:00:00Z,12,3,1,25,3,33.3,open,1
Primnoa,2024-07-26T14:00:00Z,12,3,2,17,2.9,33.4,open,1
Primnoa,2024-07-26T14:00:00Z,12,3,3,9,2.9,33.3,open,1
Primnoa,2024-07-26T14:00:00Z,12,3,4,24,2.8,33.3,open,1
Primnoa,2024-07-26T14:00:00Z,12,3,5,13,2.7,33.3,open,1
Primnoa,2024-07-26T14:00:00Z,12,3,6,8,2.7,33.4,open,1
Primnoa,2024-07-26T14:00:00Z,12,3,7,10,2.7,33.4,open,1
Primnoa,2024-07-26T14:00:00Z,12,5,1,25,4.8,32.8,open,1
Primnoa,2024-07-26T14:00:00Z,12,5,2,17,4.9,33.6,open,1
Primnoa,2024-07-26T14:00:00Z,12,5,3,9,4.9,33.6,open,1
Primnoa,2024-07-26T14:00:00Z,12,5,4,24,5,33.6,open,1
Primnoa,2024-07-26T14:00:00Z,12,5,5,13,5,33.6,open,1
Primnoa,2024-07-26T14:00:00Z,12,5,6,10,5,33.6,open,1
Primnoa,2024-07-26T14:00:00Z,12,5,7,8,4.9,33.6,open,1
Primnoa,2024-07-26T14:00:00Z,12,8,1,17,7.8,33.7,open,1
Primnoa,2024-07-26T14:00:00Z,12,8,2,9,7.7,33.6,open,1
Primnoa,2024-07-26T14:00:00Z,12,8,3,24,7.7,33.8,open,1
Primnoa,2024-07-26T14:00:00Z,12,8,4,25,7.8,33.7,open,1
Primnoa,2024-07-26T14:00:00Z,12,8,5,13,7.8,33.7,open,1
Primnoa,2024-07-26T14:00:00Z,12,8,6,10,7.8,33.9,open,1
Primnoa,2024-07-26T14:00:00Z,12,8,7,8,7.8,33.9,open,1
Primnoa,2024-07-26T14:00:00Z,12,12,1,9,11.4,34.1,open,1
Primnoa,2024-07-26T14:00:00Z,12,12,2,17,11.5,34.1,open,1
Primnoa,2024-07-26T14:00:00Z,12,12,3,24,11.5,34.1,open,1
Primnoa,2024-07-26T14:00:00Z,12,12,4,25,11.4,33.8,open,1
Primnoa,2024-07-26T14:00:00Z,12,12,5,13,11.4,34.1,open,1
Primnoa,2024-07-26T14:00:00Z,12,12,6,10,11.7,34,open,1
Primnoa,2024-07-26T14:00:00Z,12,12,7,8,11.5,34,open,1
Primnoa,2024-07-27T02:00:00Z,24,3,1,25,3.1,32.2,open,1
Primnoa,2024-07-27T02:00:00Z,24,3,2,17,3,33.2,open,1
Primnoa,2024-07-27T02:00:00Z,24,3,3,9,3,33.2,open,1
Primnoa,2024-07-27T02:00:00Z,24,3,4,24,2.9,33.3,open,1
Primnoa,2024-07-27T02:00:00Z,24,3,5,13,2.9,33.4,open,1
Primnoa,2024-07-27T02:00:00Z,24,3,6,8,2.9,33.4,open,1
Primnoa,2024-07-27T02:00:00Z,24,3,7,10,2.9,33.4,open,1
Primnoa,2024-07-27T02:00:00Z,24,5,1,25,5.2,33.6,open,1
Primnoa,2024-07-27T02:00:00Z,24,5,2,17,5.2,33.6,open,1
Primnoa,2024-07-27T02:00:00Z,24,5,3,9,5.2,33.5,open,1
Primnoa,2024-07-27T02:00:00Z,24,5,4,24,5.2,33.6,open,1
Primnoa,2024-07-27T02:00:00Z,24,5,5,13,5.2,33.6,open,1
Primnoa,2024-07-27T02:00:00Z,24,5,6,10,5.2,33.6,open,1
Primnoa,2024-07-27T02:00:00Z,24,5,7,8,5.2,33.6,open,1
Primnoa,2024-07-27T02:00:00Z,24,8,1,17,8,33.3,open,1
Primnoa,2024-07-27T02:00:00Z,24,8,2,9,8,33.6,open,1
Primnoa,2024-07-27T02:00:00Z,24,8,3,24,8.1,33.6,open,1
Primnoa,2024-07-27T02:00:00Z,24,8,4,25,8.1,33.7,open,1
Primnoa,2024-07-27T02:00:00Z,24,8,5,13,8.1,33.6,open,1
Primnoa,2024-07-27T02:00:00Z,24,8,6,10,8.1,33.7,open,1
Primnoa,2024-07-27T02:00:00Z,24,8,7,8,8,33.7,open,1
Primnoa,2024-07-27T02:00:00Z,24,12,1,9,11.9,34,closed,0
Primnoa,2024-07-27T02:00:00Z,24,12,2,17,11.8,34,open,1
Primnoa,2024-07-27T02:00:00Z,24,12,3,24,11.9,34.1,closed,0
Primnoa,2024-07-27T02:00:00Z,24,12,4,25,11.8,34,open,1
Primnoa,2024-07-27T02:00:00Z,24,12,5,13,11.8,33.8,closed,0
Primnoa,2024-07-27T02:00:00Z,24,12,6,10,11.9,34,closed,0
Primnoa,2024-07-27T02:00:00Z,24,12,7,8,11.8,33.9,closed,0
Primnoa,2024-07-27T14:00:00Z,36,3,1,25,3.3,32.2,open,1
Primnoa,2024-07-27T14:00:00Z,36,3,2,17,3.3,33.2,open,1
Primnoa,2024-07-27T14:00:00Z,36,3,3,9,3.2,33.2,open,1
Primnoa,2024-07-27T14:00:00Z,36,3,4,24,3.1,33.3,open,1
Primnoa,2024-07-27T14:00:00Z,36,3,5,13,3.1,33.3,open,1
Primnoa,2024-07-27T14:00:00Z,36,3,6,8,3.1,33.4,open,1
Primnoa,2024-07-27T14:00:00Z,36,3,7,10,3.1,33.4,open,1
Primnoa,2024-07-27T14:00:00Z,36,5,1,25,5.4,33.5,open,1
Primnoa,2024-07-27T14:00:00Z,36,5,2,17,5.4,33.5,open,1
Primnoa,2024-07-27T14:00:00Z,36,5,3,9,5.4,33.5,open,1
Primnoa,2024-07-27T14:00:00Z,36,5,4,24,5.4,33.5,open,1
Primnoa,2024-07-27T14:00:00Z,36,5,5,13,5.4,33.5,open,1
Primnoa,2024-07-27T14:00:00Z,36,5,6,10,5.4,33.5,open,1
Primnoa,2024-07-27T14:00:00Z,36,5,7,8,5.4,33.6,open,1
Primnoa,2024-07-27T14:00:00Z,36,8,1,17,8.4,33.7,open,1
Primnoa,2024-07-27T14:00:00Z,36,8,2,9,8.3,33.7,open,1
Primnoa,2024-07-27T14:00:00Z,36,8,3,24,8.3,33.7,open,1
Primnoa,2024-07-27T14:00:00Z,36,8,4,25,8.3,33.7,open,1
Primnoa,2024-07-27T14:00:00Z,36,8,5,13,8.5,33.7,open,1
Primnoa,2024-07-27T14:00:00Z,36,8,6,10,8.4,33.7,closed,0
Primnoa,2024-07-27T14:00:00Z,36,8,7,8,8.4,33.7,open,1
Primnoa,2024-07-27T14:00:00Z,36,12,1,9,12,33.7,closed,0
Primnoa,2024-07-27T14:00:00Z,36,12,2,17,12,33.9,closed,0
Primnoa,2024-07-27T14:00:00Z,36,12,3,24,12,33.9,closed,0
Primnoa,2024-07-27T14:00:00Z,36,12,4,25,11.9,33.8,closed,0
Primnoa,2024-07-27T14:00:00Z,36,12,5,13,12,34,closed,0
Primnoa,2024-07-27T14:00:00Z,36,12,6,10,12,33.9,closed,0
Primnoa,2024-07-27T14:00:00Z,36,12,7,8,12,33.9,closed,0
Paragorgia,2024-07-21T06:00:00Z,0,3,1,20,3,32.9,open,1
Paragorgia,2024-07-21T06:00:00Z,0,3,2,27,2.7,32.5,closed,0
Paragorgia,2024-07-21T06:00:00Z,0,3,3,24,2.6,32.9,open,1
Paragorgia,2024-07-21T06:00:00Z,0,3,4,22,2.5,33.3,open,1
Paragorgia,2024-07-21T06:00:00Z,0,3,5,28,2.5,33.3,open,1
Paragorgia,2024-07-21T06:00:00Z,0,3,6,21,2.5,33.3,open,1
Paragorgia,2024-07-21T06:00:00Z,0,3,7,26,2.5,33.4,closed,0
Paragorgia,2024-07-21T06:00:00Z,0,3,8,17,2.5,33.4,open,1
Paragorgia,2024-07-21T06:00:00Z,0,5,1,21,4.9,33.4,closed,0
Paragorgia,2024-07-21T06:00:00Z,0,5,2,22,4.9,33.6,open,1
Paragorgia,2024-07-21T06:00:00Z,0,5,3,27,4.8,33.6,closed,0
Paragorgia,2024-07-21T06:00:00Z,0,5,4,28,4.9,33.7,open,1
Paragorgia,2024-07-21T06:00:00Z,0,5,5,26,4.9,33.7,open,1
Paragorgia,2024-07-21T06:00:00Z,0,5,6,17,4.9,33.7,open,1
Paragorgia,2024-07-21T06:00:00Z,0,5,7,24,4.9,33.7,open,1
Paragorgia,2024-07-21T06:00:00Z,0,5,8,20,4.7,33.8,open,1
Paragorgia,2024-07-21T06:00:00Z,0,8,1,27,7.4,33.9,closed,0
Paragorgia,2024-07-21T06:00:00Z,0,8,2,21,7.5,33.9,closed,0
Paragorgia,2024-07-21T06:00:00Z,0,8,3,22,7.5,33.8,closed,0
Paragorgia,2024-07-21T06:00:00Z,0,8,4,24,7.5,33.9,open,1
Paragorgia,2024-07-21T06:00:00Z,0,8,5,28,7.5,33.8,closed,0
Paragorgia,2024-07-21T06:00:00Z,0,8,6,20,7.5,33.9,open,1
Paragorgia,2024-07-21T06:00:00Z,0,8,7,17,7.5,33.8,open,1
Paragorgia,2024-07-21T06:00:00Z,0,8,8,26,7.5,33.9,open,1
Paragorgia,2024-07-21T06:00:00Z,0,12,1,20,7.7,33.7,open,1
Paragorgia,2024-07-21T06:00:00Z,0,12,2,26,7.7,33.9,open,1
Paragorgia,2024-07-21T06:00:00Z,0,12,3,27,7.8,33.6,closed,0
Paragorgia,2024-07-21T06:00:00Z,0,12,4,21,7.8,33.7,closed,0
Paragorgia,2024-07-21T06:00:00Z,0,12,5,22,7.8,33.8,closed,0
Paragorgia,2024-07-21T06:00:00Z,0,12,6,24,7.8,33.7,open,1
Paragorgia,2024-07-21T06:00:00Z,0,12,7,NA,NA,NA,NA,NA
Paragorgia,2024-07-21T06:00:00Z,0,12,8,17,7.6,33.5,open,1
Paragorgia,2024-07-21T16:35:00Z,12,3,1,20,3.1,33.5,open,1
Paragorgia,2024-07-21T16:35:00Z,12,3,2,27,3,33.5,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,3,3,24,3,33.5,open,1
Paragorgia,2024-07-21T16:35:00Z,12,3,4,22,3,33.6,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,3,5,28,3,33.6,open,1
Paragorgia,2024-07-21T16:35:00Z,12,3,6,21,3,33.5,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,3,7,26,3,33.6,open,1
Paragorgia,2024-07-21T16:35:00Z,12,3,8,17,3,33.6,open,1
Paragorgia,2024-07-21T16:35:00Z,12,5,1,21,5.3,33.5,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,5,2,22,5.3,33.6,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,5,3,27,5.3,33.6,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,5,4,28,5.3,33.6,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,5,5,26,5.3,33.6,open,1
Paragorgia,2024-07-21T16:35:00Z,12,5,6,17,5.3,33.6,open,1
Paragorgia,2024-07-21T16:35:00Z,12,5,7,24,5.2,33.6,open,1
Paragorgia,2024-07-21T16:35:00Z,12,5,8,20,5.2,33.6,open,1
Paragorgia,2024-07-21T16:35:00Z,12,8,1,27,7.9,33.2,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,8,2,21,7.9,33.8,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,8,3,22,7.9,33.8,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,8,4,24,7.9,33.8,open,1
Paragorgia,2024-07-21T16:35:00Z,12,8,5,28,8,33.7,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,8,6,20,8,33.5,open,1
Paragorgia,2024-07-21T16:35:00Z,12,8,7,17,8,33.8,open,1
Paragorgia,2024-07-21T16:35:00Z,12,8,8,26,8,33.8,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,12,1,20,11.6,33.9,open,1
Paragorgia,2024-07-21T16:35:00Z,12,12,2,26,11.6,33.9,open,1
Paragorgia,2024-07-21T16:35:00Z,12,12,3,27,11.6,33.8,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,12,4,21,11.6,33.8,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,12,5,22,11.7,33.9,closed,0
Paragorgia,2024-07-21T16:35:00Z,12,12,6,24,11.7,33.8,open,1
Paragorgia,2024-07-21T16:35:00Z,12,12,7,NA,NA,NA,NA,NA
Paragorgia,2024-07-21T16:35:00Z,12,12,8,17,11.7,33.7,open,1
Paragorgia,2024-07-22T05:00:00Z,24,3,1,20,3.5,33.3,open,1
Paragorgia,2024-07-22T05:00:00Z,24,3,2,27,3.4,33.3,closed,0
Paragorgia,2024-07-22T05:00:00Z,24,3,3,24,3.3,33.3,open,1
Paragorgia,2024-07-22T05:00:00Z,24,3,4,22,3.3,33.4,open,1
Paragorgia,2024-07-22T05:00:00Z,24,3,5,28,3.4,33.3,closed,0
Paragorgia,2024-07-22T05:00:00Z,24,3,6,21,3.4,33.3,closed,0
Paragorgia,2024-07-22T05:00:00Z,24,3,7,26,3.4,33.3,open,1
Paragorgia,2024-07-22T05:00:00Z,24,3,8,17,3.4,33.3,open,1
Paragorgia,2024-07-22T05:00:00Z,24,5,1,21,5.1,33.5,closed,0
Paragorgia,2024-07-22T05:00:00Z,24,5,2,22,5.1,33.5,open,1
Paragorgia,2024-07-22T05:00:00Z,24,5,3,27,5.1,33.5,open,1
Paragorgia,2024-07-22T05:00:00Z,24,5,4,28,5.1,33.6,open,1
Paragorgia,2024-07-22T05:00:00Z,24,5,5,26,5.2,33.5,open,1
Paragorgia,2024-07-22T05:00:00Z,24,5,6,17,5.2,33.5,open,1
Paragorgia,2024-07-22T05:00:00Z,24,5,7,24,5.2,33.6,open,1
Paragorgia,2024-07-22T05:00:00Z,24,5,8,20,5.2,33.4,open,1
Paragorgia,2024-07-22T05:00:00Z,24,8,1,27,7.7,33.5,closed,0
Paragorgia,2024-07-22T05:00:00Z,24,8,2,21,7.8,33.6,closed,0
Paragorgia,2024-07-22T05:00:00Z,24,8,3,22,7.8,33.8,closed,0
Paragorgia,2024-07-22T05:00:00Z,24,8,4,24,7.8,33.8,open,1
Paragorgia,2024-07-22T05:00:00Z,24,8,5,28,7.8,33.7,closed,0
Paragorgia,2024-07-22T05:00:00Z,24,8,6,20,7.8,33.6,open,1
Paragorgia,2024-07-22T05:00:00Z,24,8,7,17,7.8,33.8,open,1
Paragorgia,2024-07-22T05:00:00Z,24,8,8,26,7.8,33.8,open,1
Paragorgia,2024-07-22T05:00:00Z,24,12,1,20,11.9,34,open,1
Paragorgia,2024-07-22T05:00:00Z,24,12,2,26,11.9,34,open,1
Paragorgia,2024-07-22T05:00:00Z,24,12,3,27,11.9,33.9,closed,0
Paragorgia,2024-07-22T05:00:00Z,24,12,4,21,11.9,34.1,closed,0
Paragorgia,2024-07-22T05:00:00Z,24,12,5,22,11.8,34,closed,0
Paragorgia,2024-07-22T05:00:00Z,24,12,6,24,12,33.8,open,1
Paragorgia,2024-07-22T05:00:00Z,24,12,7,NA,NA,NA,NA,NA
Paragorgia,2024-07-22T05:00:00Z,24,12,8,17,11.9,33.8,open,1
Paragorgia,2024-07-22T17:30:00Z,36,3,1,20,3.4,33.6,open,1
Paragorgia,2024-07-22T17:30:00Z,36,3,2,27,3.3,33.6,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,3,3,24,3.3,33.6,open,1
Paragorgia,2024-07-22T17:30:00Z,36,3,4,22,3.3,33.3,open,1
Paragorgia,2024-07-22T17:30:00Z,36,3,5,28,3.3,33.5,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,3,6,21,3.3,33.5,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,3,7,26,3.3,33.3,open,1
Paragorgia,2024-07-22T17:30:00Z,36,3,8,17,3.3,33.5,open,1
Paragorgia,2024-07-22T17:30:00Z,36,5,1,21,5,33.6,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,5,2,22,5.1,33.6,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,5,3,27,5,33.5,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,5,4,28,5,33.6,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,5,5,26,5,33.6,open,1
Paragorgia,2024-07-22T17:30:00Z,36,5,6,17,5,33.7,open,1
Paragorgia,2024-07-22T17:30:00Z,36,5,7,24,5,33.6,open,1
Paragorgia,2024-07-22T17:30:00Z,36,5,8,20,5.1,33.6,open,1
Paragorgia,2024-07-22T17:30:00Z,36,8,1,27,7.9,33.7,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,8,2,21,8,33.9,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,8,3,22,8,33.9,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,8,4,24,8,33.8,open,1
Paragorgia,2024-07-22T17:30:00Z,36,8,5,28,8,33.8,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,8,6,20,8,33.6,open,1
Paragorgia,2024-07-22T17:30:00Z,36,8,7,17,8,33.8,open,1
Paragorgia,2024-07-22T17:30:00Z,36,8,8,26,8,33.5,open,1
Paragorgia,2024-07-22T17:30:00Z,36,12,1,20,11.7,34.1,open,1
Paragorgia,2024-07-22T17:30:00Z,36,12,2,26,11.7,34.1,open,1
Paragorgia,2024-07-22T17:30:00Z,36,12,3,27,11.7,34.1,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,12,4,21,11.8,34.1,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,12,5,22,11.8,34.1,closed,0
Paragorgia,2024-07-22T17:30:00Z,36,12,6,24,11.8,34,open,1
Paragorgia,2024-07-22T17:30:00Z,36,12,7,NA,NA,NA,NA,NA
Paragorgia,2024-07-22T17:30:00Z,36,12,8,17,11.9,33.8,open,1
